	photo_cnt	photo_like_cnt	photo_like_max	photo_like_mean	photo_like_median	photo_month_mean	photo_repost_cnt	photo_repost_max	photo_repost_mean	photo_repost_median	photo_text	photo_text_len_cnt	photo_yer_mean	uid	vk_photo_ava_change_cnt	vk_photo_text_url_len_cnt	vk_photo_wall_ph_post_cnt
121	63	410	41	6.507936507936508	3.0	6.3	0	0	0.0	0.0	                                    Original: http://cs615730.vk.me/v615730600/17131/mXWwUje7eqw.jpg       Ulfsaar - the Ursa Warrior      Original: http://cs624828.vk.me/v624828835/34794/FkVCkAFw5L4.jpg             	0.0	9.0	160709835	0	2	0
122	3	205	168	68.33333333333333	24.0	1.0	0	0	0.0	0.0	  	0.0	1.0	219248874	0	0	0
123	1	82	82	82.0	82.0	1.0	0	0	0.0	0.0		0.0	1.0	181081552	0	0	0
124	4	35	15	8.75	7.5	1.0	0	0	0.0	0.0	   	0.0	1.3333333333333333	256058099	0	0	0
125	76	2582	70	33.973684210526315	33.0	6.333333333333333	0	0	0.0	0.0	                                                                           	0.0	10.857142857142858	163204179	0	0	0
126	2	59	31	29.5	29.5	1.0	0	0	0.0	0.0	 	0.0	1.0	182728039	0	0	0
127	10	538	94	53.8	50.5	1.6666666666666667	1	1	0.1	0.0	         	0.0	2.0	156070070	0	0	0
128	6	178	43	29.666666666666668	27.5	1.2	0	0	0.0	0.0	     	0.0	2.0	87839499	0	0	0
129	5	119	45	23.8	21.0	1.25	0	0	0.0	0.0	    	0.0	2.5	340793904	0	0	0
130	13	239	70	18.384615384615383	15.0	1.8571428571428572	0	0	0.0	0.0	            	0.0	2.6	139127493	0	0	0
131	286	2100	93	7.3426573426573425	3.0	23.833333333333332	0	0	0.0	0.0	"                                                                                                                                                                                                                                                                             BERETTA            Сделано приложением Коллаж Друзей 2
http://vkontakte.ru/app2208440    "	0.0	28.6	144946455	0	1	0
132	3	89	57	29.666666666666668	24.0	1.0	0	0	0.0	0.0	  	0.0	1.5	192290078	0	0	0
133	7	116	24	16.571428571428573	16.0	1.4	0	0	0.0	0.0	      	0.0	3.5	249189711	0	0	0
134	5	113	46	22.6	19.0	1.0	0	0	0.0	0.0	    	0.0	1.6666666666666667	161768211	0	0	0
135	20	526	79	26.3	12.0	2.5	0	0	0.0	0.0	                   	0.0	6.666666666666667	110382208	0	0	0
136	1	18	18	18.0	18.0	1.0	0	0	0.0	0.0		0.0	1.0	322139538	0	0	0
137	21	1363	118	64.9047619047619	56.0	2.625	0	0	0.0	0.0	                    	0.0	7.0	147249363	0	0	0
138														301828840.0			
139	3	306	169	102.0	90.0	1.0	0	0	0.0	0.0	  	0.0	1.0	137909771	0	0	0
140	9	495	77	55.0	49.0	1.2857142857142858	0	0	0.0	0.0	        	0.0	3.0	221679453	0	0	0
141	3	79	40	26.333333333333332	24.0	1.0	0	0	0.0	0.0	  	0.0	1.5	59981173	0	0	0
142														186713348.0			
143	57	5780	174	101.40350877192982	99.0	5.7	0	0	0.0	0.0	" Когда ты увидишь человека без улыбки, подари ему свою.  То, что ты любишь, надо любить еще сильнее, потому что наступит день, когда оно может уйти. У каждого есть такие места, 
Забыть о которых невозможно, 
Хотя бы потому, что там воздух 
Помнит твоё счастливое дыхание. My life. My parents💙 Дальше всех уйдёт тот, кто не уступает равному себе, сохраняет достоинство в отношениях к сильнейшим и умеет сдерживать себя по отношению к беззащитным. 🖤 Напитай свои глаза чудом. Живи так, как если через десять секунд умрёшь на месте. Любить, радоваться жизни и быть счастливыми никогда не поздно. 
У счастья нет срока годности и возрастных ограничений. Чем меньше в голове ожиданий, тем больше в жизни сюрпризов 🖤🍷🥥 Радуйся тому,что имеешь. Не грусти о том,чего нет. Есть те, кому не все равно. И на этом все строится. Главное - встретить таких людей.
🐱🖤 Цените время: дни уходят невозвратно! И нет величия там, где нет простоты, добра и правды🐋 Если хочешь счастья, не думай о лишениях🤪 Добрый день, моя юность. 
Боже мой, до чего ты прекрасна. Вы знаете, что люди могут не вернуться?
зажав всю волю в кулаке, Вас отпустить?
и как-то утром с мыслями, но не о Вас, проснуться
и больше Вас не ждать и не о Вас грустить.

Вы знаете, что люди могут не вернуться?
не выдержать, свой мир сломав, Вас не простить?
и со слезами на глазах от Вас на 100 ключей замкнуться
и понимая, что нет сил, Вас навсегда забыть.  Псков🐥 Amore, море помнит все наизусть🌸    Бывает горьким даже мёд… 
Бывает польза от вреда… 
Любовь ко всем подход найдёт, 
Чтоб ранить сердце навсегда… 

Мы в молодости гнёзда вьём, 
Чтоб привести туда птенцов… 
Потом всё рушим день за днём… 
Кто остановит нас – глупцов? 

Зачем мы ищем новый путь, 
Что не всегда ведёт к мечтам… 
Семья – есть жизнь и в этом суть… 
Понять скорей бы это нам… 

Ведь там, за новою чертой, 
Мы обязательно поймём, 
Что не хватает жизни той, 
Где был уютным старый дом… 

Где от любви душа жила 
На фоне выцветших гардин, 
Где обещание дала – 
Любить до старческих морщин… 

Но под руинами любви 
Так тяжело семью спасти… 
Молчаньем душу не трави… 
Не опоздай сказать «Прости!» 

Семья – не просто жизнь людей 
С детьми под крышею одной… 
Нет в мире никого родней, 
Чем те, кого зовём семьёй… 

А после шторма будет штиль 
И нужно вместе переждать… 
Ведь ссоры – это просто пыль, 
Что нужно прочь метлою гнать… 

Бывает горьким даже мёд, 
Но ветром прочный дом не сдуть. 
И нужно помнить об одном: 
Семья – есть жизнь и в этом суть…
♥️ Твоя жизнь всегда движется в сторону твоей самой сильной мысли 💭 Ведь если звезды зажигают - значит- это кому нибудь нужно🌌                               "	0.0	9.5	149190815	0	0	0
144	37	3934	229	106.32432432432432	104.0	3.3636363636363638	0	0	0.0	0.0	                                 (:   	0.0	7.4	134635136	0	0	0
145	3	138	77	46.0	37.0	1.0	0	0	0.0	0.0	  	0.0	1.0	203033018	0	0	0
146	7	555	124	79.28571428571429	76.0	1.4	0	0	0.0	0.0	      	0.0	1.75	73090063	0	0	0
147	3	61	47	20.333333333333332	8.0	1.0	0	0	0.0	0.0	  	0.0	1.5	55791439	0	0	0
148	5	294	115	58.8	55.0	1.6666666666666667	0	0	0.0	0.0	    	0.0	1.6666666666666667	144094476	0	0	0
149	31	1062	131	34.25806451612903	14.0	3.4444444444444446	0	0	0.0	0.0	                              	0.0	4.428571428571429	171526066	0	0	0
150	30	332	33	11.066666666666666	7.5	3.3333333333333335	0	0	0.0	0.0	                             	0.0	5.0	132876203	0	0	0
151	5	463	117	92.6	85.0	1.0	0	0	0.0	0.0	    	0.0	1.6666666666666667	50855351	0	0	0
152														364453919.0			
153	20	2339	233	116.95	106.5	2.5	0	0	0.0	0.0	                   	0.0	5.0	121297617	0	0	0
154	1	25	25	25.0	25.0	1.0	0	0	0.0	0.0		0.0	1.0	48410695	0	0	0
155	7	442	85	63.142857142857146	63.0	1.75	0	0	0.0	0.0	      	0.0	1.75	189200427	0	0	0
156	30	1936	138	64.53333333333333	58.5	2.727272727272727	0	0	0.0	0.0	                             	0.0	5.0	84894888	0	0	0
157	8	1229	210	153.625	153.5	1.1428571428571428	0	0	0.0	0.0	       	0.0	4.0	199291420	0	0	0
158	5	98	34	19.6	19.0	1.25	0	0	0.0	0.0	    	0.0	1.25	207838290	0	0	0
159	2	108	68	54.0	54.0	1.0	0	0	0.0	0.0	 	0.0	1.0	260422201	0	0	0
160	36	793	50	22.02777777777778	20.0	3.6	0	0	0.0	0.0	Было время           Люблю это место, эти виды...       Руки в боки                 	0.0	7.2	184846419	0	0	0
161	5	194	57	38.8	51.0	1.0	0	0	0.0	0.0	    	0.0	1.6666666666666667	251560137	0	0	0
162														248022316.0			
163	51	3650	176	71.56862745098039	66.0	5.1	0	0	0.0	0.0	         Щеки.                       Quest💙                  	0.0	10.2	132956615	0	0	0
164	23	727	81	31.608695652173914	29.0	3.2857142857142856	1	1	0.043478260869565216	0.0	                      	0.0	7.666666666666667	330169078	0	0	0
165	4	151	50	37.75	41.5	1.0	0	0	0.0	0.0	   	0.0	2.0	156240392	0	0	0
166	3	114	40	38.0	38.0	1.0	0	0	0.0	0.0	  	0.0	1.0	160020211	0	0	0
167	8	231	59	28.875	24.5	1.3333333333333333	0	0	0.0	0.0	       	0.0	2.0	80608138	0	0	0
168	3	152	57	50.666666666666664	54.0	1.0	2	1	0.6666666666666666	1.0	  	0.0	3.0	66338258	0	0	0
169	2	98	59	49.0	49.0	1.0	0	0	0.0	0.0	 	0.0	1.0	287509892	0	0	0
170	18	531	61	29.5	27.0	2.0	0	0	0.0	0.0	                 	0.0	4.5	295926022	0	0	0
171	9	154	34	17.11111111111111	18.0	1.2857142857142858	1	1	0.1111111111111111	0.0	Создано в приложении Популярность : https://vk.com/app7068769        	0.0	2.25	204186546	0	1	0
172	6	16	4	2.6666666666666665	2.5	1.2	0	0	0.0	0.0	     	0.0	3.0	253915371	0	0	0
173	135	1768	58	13.096296296296297	12.0	11.25	0	0	0.0	0.0	                                                                                                                                      	0.0	19.285714285714285	206635441	0	0	0
174	8	74	16	9.25	9.0	2.6666666666666665	0	0	0.0	0.0	       	0.0	8.0	170791667	0	0	0
175	7	730	212	104.28571428571429	61.0	1.75	0	0	0.0	0.0	      	0.0	1.75	112974544	0	0	0
176	33	1305	205	39.54545454545455	31.0	3.3	1	1	0.030303030303030304	0.0	                                	0.0	8.25	135934873	0	0	0
177														65719468.0			
178	72	6952	470	96.55555555555556	74.0	6.0	2	1	0.027777777777777776	0.0	                                                                       	0.0	14.4	138086790	0	0	0
179	6	335	91	55.833333333333336	58.0	1.5	0	0	0.0	0.0	     	0.0	2.0	149535421	0	0	0
180	3	152	56	50.666666666666664	54.0	1.0	0	0	0.0	0.0	  	0.0	3.0	107478043	0	0	0
181	4	147	53	36.75	43.5	1.0	0	0	0.0	0.0	   	0.0	2.0	355161276	0	0	0
182	71	1894	80	26.676056338028168	25.0	5.916666666666667	0	0	0.0	0.0	                                                                      	0.0	11.833333333333334	171425636	0	0	0
183	16	848	88	53.0	46.5	2.2857142857142856	0	0	0.0	0.0	               	0.0	5.333333333333333	147026021	0	0	0
184	27	473	44	17.51851851851852	15.0	2.7	0	0	0.0	0.0	                          	0.0	5.4	152363152	0	0	0
185	58	1016	57	17.517241379310345	16.0	5.8	0	0	0.0	0.0	                                                         	0.0	19.333333333333332	340066149	0	0	0
186	44	7606	397	172.86363636363637	156.0	3.6666666666666665	0	0	0.0	0.0	                                  http://instagram.com/ariadnochca         	0.0	7.333333333333333	172095113	0	1	0
187	107	1025	117	9.57943925233645	4.0	10.7	0	0	0.0	0.0	                                                                                                          	0.0	17.833333333333332	194723418	0	0	0
